#taskLabel	taskNamespace	taskType	nCores	memMb	priority	isForceLocal	dependencies	cwd	command
CallGenome		workflow	0	0	0	0			CallWorkflow
makeTmpDir	CallGenome	command	1	2048	0	1			mkdir -p /home/jfdey/git/easybuild-life-sciences/fh_easyconfigs/strelkaSomaticDemoAnalysis/workspace/genomeSegment.tmpdir
callGenomeSegment_chromId_000_demo20_0000	CallGenome	command	1	1024	0	0	makeTmpDir		/app/easybuild/software/strelka/2.9.9-foss-2016b/libexec/strelka2 --region demo20:1-5000 --ref /app/easybuild/software/strelka/2.9.9-foss-2016b/share/demo/strelka/data/demo20.fa --max-indel-size 49 --min-mapping-quality 20 --somatic-snv-rate 0.0001 --shared-site-error-rate 0.0000000005 --shared-site-error-strand-bias-fraction 0.0 --somatic-indel-rate 0.000001 --shared-indel-error-factor 2.2 --tier2-min-mapping-quality 0 --strelka-snv-max-filtered-basecall-frac 0.4 --strelka-snv-max-spanning-deletion-frac 0.75 --strelka-snv-min-qss-ref 15 --strelka-indel-max-window-filtered-basecall-frac 0.3 --strelka-indel-min-qsi-ref 40 --ssnv-contam-tolerance 0.15 --indel-contam-tolerance 0.15 --somatic-snv-scoring-model-file /app/easybuild/software/strelka/2.9.9-foss-2016b/share/config/somaticSNVScoringModels.json --somatic-indel-scoring-model-file /app/easybuild/software/strelka/2.9.9-foss-2016b/share/config/somaticIndelScoringModels.json --normal-align-file /app/easybuild/software/strelka/2.9.9-foss-2016b/share/demo/strelka/data/NA12892_demo20.bam --tumor-align-file /app/easybuild/software/strelka/2.9.9-foss-2016b/share/demo/strelka/data/NA12891_demo20.bam --somatic-snv-file /home/jfdey/git/easybuild-life-sciences/fh_easyconfigs/strelkaSomaticDemoAnalysis/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_000_demo20_0000.vcf --somatic-indel-file /home/jfdey/git/easybuild-life-sciences/fh_easyconfigs/strelkaSomaticDemoAnalysis/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_000_demo20_0000.vcf --stats-file /home/jfdey/git/easybuild-life-sciences/fh_easyconfigs/strelkaSomaticDemoAnalysis/workspace/genomeSegment.tmpdir/runStats.chromId_000_demo20_0000.xml
fixVcfHeader_chromId_000_demo20_0000	CallGenome	command	1	2048	0	1	callGenomeSegment_chromId_000_demo20_0000		"/usr/bin/python2" -E "/app/easybuild/software/strelka/2.9.9-foss-2016b/libexec/vcfCmdlineSwapper.py" "/app/easybuild/software/strelka/2.9.9-foss-2016b/bin/configureStrelkaSomaticWorkflow.py --tumorBam=/app/easybuild/software/strelka/2.9.9-foss-2016b/bin/../share/demo/strelka/data/NA12891_demo20.bam --normalBam=/app/easybuild/software/strelka/2.9.9-foss-2016b/bin/../share/demo/strelka/data/NA12892_demo20.bam --referenceFasta=/app/easybuild/software/strelka/2.9.9-foss-2016b/bin/../share/demo/strelka/data/demo20.fa --callMemMb=1024 --exome --runDir=./strelkaSomaticDemoAnalysis" < "/home/jfdey/git/easybuild-life-sciences/fh_easyconfigs/strelkaSomaticDemoAnalysis/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_000_demo20_0000.vcf" > "/home/jfdey/git/easybuild-life-sciences/fh_easyconfigs/strelkaSomaticDemoAnalysis/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_000_demo20_0000.vcf.reheader.tmp" && mv "/home/jfdey/git/easybuild-life-sciences/fh_easyconfigs/strelkaSomaticDemoAnalysis/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_000_demo20_0000.vcf.reheader.tmp" "/home/jfdey/git/easybuild-life-sciences/fh_easyconfigs/strelkaSomaticDemoAnalysis/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_000_demo20_0000.vcf" && "/usr/bin/python2" -E "/app/easybuild/software/strelka/2.9.9-foss-2016b/libexec/vcfCmdlineSwapper.py" "/app/easybuild/software/strelka/2.9.9-foss-2016b/bin/configureStrelkaSomaticWorkflow.py --tumorBam=/app/easybuild/software/strelka/2.9.9-foss-2016b/bin/../share/demo/strelka/data/NA12891_demo20.bam --normalBam=/app/easybuild/software/strelka/2.9.9-foss-2016b/bin/../share/demo/strelka/data/NA12892_demo20.bam --referenceFasta=/app/easybuild/software/strelka/2.9.9-foss-2016b/bin/../share/demo/strelka/data/demo20.fa --callMemMb=1024 --exome --runDir=./strelkaSomaticDemoAnalysis" < "/home/jfdey/git/easybuild-life-sciences/fh_easyconfigs/strelkaSomaticDemoAnalysis/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_000_demo20_0000.vcf" > "/home/jfdey/git/easybuild-life-sciences/fh_easyconfigs/strelkaSomaticDemoAnalysis/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_000_demo20_0000.vcf.reheader.tmp" && mv "/home/jfdey/git/easybuild-life-sciences/fh_easyconfigs/strelkaSomaticDemoAnalysis/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_000_demo20_0000.vcf.reheader.tmp" "/home/jfdey/git/easybuild-life-sciences/fh_easyconfigs/strelkaSomaticDemoAnalysis/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_000_demo20_0000.vcf"
compressSegmentOutput_chromId_000_demo20_0000	CallGenome	command	1	2048	0	1	fixVcfHeader_chromId_000_demo20_0000		"/app/easybuild/software/strelka/2.9.9-foss-2016b/libexec/bgzip" "/home/jfdey/git/easybuild-life-sciences/fh_easyconfigs/strelkaSomaticDemoAnalysis/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_000_demo20_0000.vcf" && "/app/easybuild/software/strelka/2.9.9-foss-2016b/libexec/bgzip" "/home/jfdey/git/easybuild-life-sciences/fh_easyconfigs/strelkaSomaticDemoAnalysis/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_000_demo20_0000.vcf"
completedAllGenomeSegments	CallGenome	command	0	0	0	0	compressSegmentOutput_chromId_000_demo20_0000		
SNV_concat_vcf	CallGenome	command	1	2048	0	1	completedAllGenomeSegments		mv /home/jfdey/git/easybuild-life-sciences/fh_easyconfigs/strelkaSomaticDemoAnalysis/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_000_demo20_0000.vcf.gz /home/jfdey/git/easybuild-life-sciences/fh_easyconfigs/strelkaSomaticDemoAnalysis/results/variants/somatic.snvs.vcf.gz
SNV_index_vcf	CallGenome	command	1	2048	0	1	SNV_concat_vcf		/app/easybuild/software/strelka/2.9.9-foss-2016b/libexec/tabix -p vcf /home/jfdey/git/easybuild-life-sciences/fh_easyconfigs/strelkaSomaticDemoAnalysis/results/variants/somatic.snvs.vcf.gz
Indel_concat_vcf	CallGenome	command	1	2048	0	1	completedAllGenomeSegments		mv /home/jfdey/git/easybuild-life-sciences/fh_easyconfigs/strelkaSomaticDemoAnalysis/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_000_demo20_0000.vcf.gz /home/jfdey/git/easybuild-life-sciences/fh_easyconfigs/strelkaSomaticDemoAnalysis/results/variants/somatic.indels.vcf.gz
Indel_index_vcf	CallGenome	command	1	2048	0	1	Indel_concat_vcf		/app/easybuild/software/strelka/2.9.9-foss-2016b/libexec/tabix -p vcf /home/jfdey/git/easybuild-life-sciences/fh_easyconfigs/strelkaSomaticDemoAnalysis/results/variants/somatic.indels.vcf.gz
